stop_name,latitude,longitude
Kochukadavu,10.1775127,76.3113536
Ayroor school,10.1769486,76.3066313
Kottayathupara,9.9326879,76.3749519
Puthankaavu,9.8516092,76.3853985
Kadungamangalam,9.9363904,76.3752653
Colonypady,9.932774,76.3793535
Kureekkad Bus Stop,9.9269116,76.373842
Nettoor Palli,9.9229773,76.3175468
Lakeshore,9.9166679,76.3169352
Nettoor Palli,9.9227838,76.3173528
Lakeshore,9.9166956,76.3171386
Kunnumpuram,10.1302717,76.3455358
Desham,10.1297477,76.3517374
Desham,10.1306269,76.3522423
Pallipady,10.156313,76.4461278
Thannipuzha,10.1595818,76.442782
Nambilly,10.1544001,76.4482764
Union Kavala,10.1633604,76.4481187
Old Panchayath Bus Stop,9.8636227,76.3989938
Kanjiramattom Bus Stop,9.8540286,76.4019801
HMT Junction,10.0551505,76.3217332
South Kalamassery,10.0482964,76.3185735
paripeedia /college hostel,9.9484539,76.6305903
Palissery Bus Stop,10.2679779,76.4075542
Karingachira,9.9516545,76.358528
Kizhakke Kotta Junction,9.9450278,76.3489637
Vattaparambu Junction,10.1943389,76.3423502
Parambayam,10.1355738,76.3535628
Mavinchuvadu,10.1498855,76.2589893
Kadamakkudy,10.0642186,76.2465603
Puthencruz,9.968867,76.4228606
Puthencruz,9.9689023,76.42269
alinchuvad bus stop,10.1666739,76.4613999
പിഒ ജംഗ്ഷൻ ബസ് സ്റ്റോപ്പ്,9.9795065,76.5810979
Thannipuzha,10.1596894,76.4428948
Okkal,10.1523968,76.4508215
പിഒ ജംഗ്ഷൻ ബസ് സ്റ്റോപ്പ്,9.979272,76.5816841
Edappally Toll,10.0286076,76.3107589
Edappally,10.0221471,76.3067135
Mamangalam,10.009473,76.3038231
Palarivattom,10.0020738,76.3054592
Kaloor Stadium,10.0005568,76.2995932
Kaloor Stadium,10.0008478,76.2996397
Mathrubhoomi,9.9968296,76.2946944
Mathrubhoomi,9.9970327,76.2946244
Kaloor,9.9946098,76.2917871
Manapattyparambu,9.9924945,76.2894446
Manapattyparambu,9.9922444,76.2895663
Manapattyparambu,9.992298,76.2892436
Town Hall,9.9914529,76.2885943
North Railway Station,9.9883486,76.2860939
North Railway Station,9.9885607,76.2859855
High Court Junction,9.9828111,76.2743231
Kottuvally south,10.0916661,76.2546729
Kottuvalli Palli,10.1035314,76.2495575
Kottuvalli Palli,10.1034165,76.2494659
Thrikkapuram,10.1080524,76.247619
Thrikkapuram,10.1079994,76.2475459
Kochambalam,10.1136779,76.243296
